chain,units,dollars,stores,brand,report_date,report_month,period,source_file
TOTAL US - NATURAL EXPANDED CHANNEL,9753.6,183265.49,834.4319999999999,NEOLEA,2025-06-15,2025-06-01,52W,SPINS PowerTabs Neolea Data Ending 06-15-25.xlsb
THE FRESH MARKET - TOTAL US,4838.1,88270.29999999999,515.052,NEOLEA,2025-06-15,2025-06-01,52W,SPINS PowerTabs Neolea Data Ending 06-15-25.xlsb
TOTAL US - FOOD,3258.2,60412.25,662.8000000000001,NEOLEA,2025-06-15,2025-06-01,52W,SPINS PowerTabs Neolea Data Ending 06-15-25.xlsb
TOTAL US - MULO,3258.2,60412.25,431.32800000000003,NEOLEA,2025-06-15,2025-06-01,52W,SPINS PowerTabs Neolea Data Ending 06-15-25.xlsb
INFRA - TOTAL US,1018.3,18293.239999999998,58.65,NEOLEA,2025-06-15,2025-06-01,52W,SPINS PowerTabs Neolea Data Ending 06-15-25.xlsb
AC - ALBERTSONSCO CORP - RMA,800.3,14627.77,119.66400000000002,NEOLEA,2025-06-15,2025-06-01,52W,SPINS PowerTabs Neolea Data Ending 06-15-25.xlsb
KINGS FOOD MARKETS - TOTAL US,394.0,8253.970000000001,54.0,NEOLEA,2025-06-15,2025-06-01,52W,SPINS PowerTabs Neolea Data Ending 06-15-25.xlsb
MOTHERS MARKET - TOTAL US,264.0,5484.37,32.712,NEOLEA,2025-06-15,2025-06-01,52W,SPINS PowerTabs Neolea Data Ending 06-15-25.xlsb
SAVE MART CORP - RMA,139.0,1849.99,19.982000000000003,NEOLEA,2025-06-15,2025-06-01,52W,SPINS PowerTabs Neolea Data Ending 06-15-25.xlsb
TOTAL US - NATURAL EXPANDED CHANNEL,9555.599999999999,178897.32,828.7079999999999,NEOLEA,2025-07-13,2025-07-01,52W,SPINS PowerTabs Neolea Data Ending 07-13-25.xlsb
THE FRESH MARKET - TOTAL US,4970.1,89973.05,515.052,NEOLEA,2025-07-13,2025-07-01,52W,SPINS PowerTabs Neolea Data Ending 07-13-25.xlsb
TOTAL US - FOOD,3434.1000000000004,64506.92,663.94,NEOLEA,2025-07-13,2025-07-01,52W,SPINS PowerTabs Neolea Data Ending 07-13-25.xlsb
TOTAL US - MULO,3434.1000000000004,64506.92,442.932,NEOLEA,2025-07-13,2025-07-01,52W,SPINS PowerTabs Neolea Data Ending 07-13-25.xlsb
INFRA - TOTAL US,903.6,16474.0,54.188,NEOLEA,2025-07-13,2025-07-01,52W,SPINS PowerTabs Neolea Data Ending 07-13-25.xlsb
AC - ALBERTSONSCO CORP - RMA,809.5,14652.72,119.66400000000002,NEOLEA,2025-07-13,2025-07-01,52W,SPINS PowerTabs Neolea Data Ending 07-13-25.xlsb
KINGS FOOD MARKETS - TOTAL US,374.0,7860.33,50.0,NEOLEA,2025-07-13,2025-07-01,52W,SPINS PowerTabs Neolea Data Ending 07-13-25.xlsb
MOTHERS MARKET - TOTAL US,295.4,6124.68,29.986000000000004,NEOLEA,2025-07-13,2025-07-01,52W,SPINS PowerTabs Neolea Data Ending 07-13-25.xlsb
TOTAL US - NATURAL EXPANDED CHANNEL,9735.5,181100.4,829.0259999999998,NEOLEA,2025-08-10,2025-08-01,52W,SPINS PowerTabs Neolea Data Ending 08-10-25.xlsb
THE FRESH MARKET - TOTAL US,5148.8,92661.56,515.052,NEOLEA,2025-08-10,2025-08-01,52W,SPINS PowerTabs Neolea Data Ending 08-10-25.xlsb
TOTAL US - FOOD,3531.6,67001.88,664.52,NEOLEA,2025-08-10,2025-08-01,52W,SPINS PowerTabs Neolea Data Ending 08-10-25.xlsb
TOTAL US - MULO,3531.6,67001.88,442.932,NEOLEA,2025-08-10,2025-08-01,52W,SPINS PowerTabs Neolea Data Ending 08-10-25.xlsb
INFRA - TOTAL US,889.4,16114.98,54.188,NEOLEA,2025-08-10,2025-08-01,52W,SPINS PowerTabs Neolea Data Ending 08-10-25.xlsb
AC - ALBERTSONSCO CORP - RMA,800.5,14402.04,119.66400000000002,NEOLEA,2025-08-10,2025-08-01,52W,SPINS PowerTabs Neolea Data Ending 08-10-25.xlsb
KINGS FOOD MARKETS - TOTAL US,359.0,7563.78,50.0,NEOLEA,2025-08-10,2025-08-01,52W,SPINS PowerTabs Neolea Data Ending 08-10-25.xlsb
MOTHERS MARKET - TOTAL US,307.4,6392.5599999999995,29.986000000000004,NEOLEA,2025-08-10,2025-08-01,52W,SPINS PowerTabs Neolea Data Ending 08-10-25.xlsb
